                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2494,                 2.8706,                0.91834,                 1.1548,                0.59189,                0.41913,                0.45355,                0.27335,                0.52137,                0.34774,                0.35537,                0.17866,                 1.4153,                 3.1404,                 1.0505,                 1.1699,              0.0093466,              0.0093466,              0.0093466
                     35,                 1.2497,                 2.8829,                0.91753,                 1.1569,                 0.6249,                0.41377,                0.45607,                0.27591,                0.56587,                 0.3465,                 0.3623,                0.18121,                 1.4109,                 3.1441,                 1.0419,                 1.1703,              0.0093268,              0.0093268,              0.0093268
                     36,                 1.2468,                 2.8694,                0.91428,                  1.152,                0.60224,                0.42016,                0.45688,                 0.2754,                 0.5105,                0.35626,                0.35785,                0.17742,                 1.4105,                 3.1219,                 1.0404,                 1.1695,               0.009307,               0.009307,               0.009307
                     37,                 1.2488,                 2.8721,                0.91297,                 1.1534,                0.58652,                 0.4149,                0.45026,                0.27041,                0.53343,                0.34383,                0.35439,                0.17822,                 1.4225,                 3.1312,                 1.0482,                 1.1728,              0.0092872,              0.0092872,              0.0092872
                     38,                 1.2446,                 2.8659,                0.90711,                 1.1502,                 0.5974,                0.41618,                0.44848,                0.27033,                0.53343,                0.34424,                0.35326,                0.17532,                 1.4139,                 3.1477,                 1.0451,                 1.1675,              0.0092674,              0.0092674,              0.0092674
                     39,                 1.2371,                  2.844,                0.90343,                 1.1478,                0.59033,                0.42356,                0.44949,                0.27367,                0.51927,                0.35224,                0.35573,                0.17865,                 1.4095,                 3.1247,                 1.0408,                 1.1692,              0.0092476,              0.0092476,              0.0092476
                     40,                 1.2363,                 2.8488,                0.90014,                 1.1467,                0.61139,                0.41559,                 0.4502,                0.26858,                0.53082,                0.35499,                0.35797,                0.17762,                 1.4117,                 3.1455,                 1.0489,                 1.1747,              0.0092278,              0.0092278,              0.0092278
                     41,                   1.24,                  2.853,                0.90285,                 1.1503,                0.61176,                0.41398,                0.45153,                0.27388,                0.53104,                0.34786,                0.35578,                0.17721,                 1.4111,                 3.1402,                 1.0434,                 1.1665,               0.009208,               0.009208,               0.009208
                     42,                 1.2355,                 2.8438,                0.89529,                 1.1451,                0.60707,                0.41387,                0.44744,                0.27197,                0.55285,                0.34458,                0.35794,                 0.1741,                 1.4084,                 3.1333,                 1.0401,                 1.1652,              0.0091882,              0.0091882,              0.0091882
                     43,                 1.2324,                 2.8313,                0.89533,                 1.1465,                0.58859,                0.42759,                0.45474,                 0.2756,                0.50141,                0.36703,                0.35713,                0.17968,                 1.4095,                 3.1319,                 1.0408,                 1.1656,              0.0091684,              0.0091684,              0.0091684
                     44,                 1.2271,                 2.8288,                0.89054,                 1.1414,                0.60157,                  0.418,                0.45218,                 0.2738,                0.55052,                0.34873,                 0.3588,                0.17928,                 1.4124,                 3.1284,                 1.0365,                  1.165,              0.0091486,              0.0091486,              0.0091486
